accuracy,precision,recall,f1
57.466063348416284,0.5597631500616576,0.5413745982214464,0.540903283163345
56.56108597285068,0.551129853257513,0.5376000149983439,0.5379037585183327
58.144796380090504,0.5547055648552973,0.540552235320313,0.5409509471005172
57.01357466063348,0.5440947000269034,0.5330598913036685,0.5327350080428148
59.502262443438916,0.5798789747352607,0.5610355060332459,0.5625024548101472
56.10859728506787,0.5249934671611072,0.5166283722838937,0.5144211312808531
56.334841628959275,0.5411318700792386,0.52983883492494,0.531927309530215
57.01357466063348,0.5421594082958455,0.532993926365075,0.5333723796275961
58.59728506787331,0.557907279060376,0.5433073709222385,0.5450869611339112
60.633484162895925,0.5660712199406165,0.5579364269269342,0.5563474211594723
58.144796380090504,0.5452612923925776,0.5296753113140054,0.5216910120577601
54.52488687782805,0.5198740368627416,0.5061170329109493,0.5062613515415234
54.52488687782805,0.5166908018235451,0.5022715084468682,0.502893683532406
53.84615384615385,0.5143690981673927,0.5036432319857275,0.5031487998808261
57.23981900452488,0.5443064737168304,0.5270870554339254,0.5287001534973635
56.78733031674208,0.5353707598033856,0.5228817327346031,0.5204083747927032
54.97737556561086,0.5160711593547415,0.5068726207777521,0.5057967335195058
54.97737556561086,0.531367510018608,0.5088721685128749,0.511545910172674
51.80995475113123,0.49107690062330284,0.4806201954089791,0.4806647202015275
54.29864253393665,0.5298742138364779,0.5085958101385565,0.5113312574588327
55.42986425339367,0.532428856727485,0.5199336786192821,0.5203687061904639
57.23981900452488,0.5408419638988725,0.5356789308217588,0.5363533253311089
54.29864253393665,0.5221960170413779,0.5076290187402919,0.5073924785405531
52.488687782805435,0.4990672801890312,0.4868735558596886,0.48667077244197826
53.39366515837104,0.5178915962576687,0.4970425719197209,0.49685062002135166
55.203619909502265,0.5347222222222222,0.5176661049231369,0.5188169966113568
52.94117647058824,0.49873326763570663,0.4913427383133853,0.49108310646187125
54.29864253393665,0.5145897813697882,0.5028167028779461,0.5018551593307906
58.144796380090504,0.5605306186067139,0.5474960287949687,0.548382367918708
54.97737556561086,0.5309265932758565,0.5168487183243887,0.519718837323193
54.07239819004525,0.5196265812068175,0.5061963065652241,0.5088229323852552
53.39366515837104,0.513117862799033,0.4994595504153823,0.5019470144390272
54.07239819004525,0.5125852734509989,0.5009665599423397,0.5016677944575562
55.203619909502265,0.5273729296522608,0.51327121982133,0.5149237472766885
56.56108597285068,0.54036644553574,0.5289421746719171,0.5305680331386756
55.203619909502265,0.5245798028634451,0.5154686623722334,0.5160361933451519
55.65610859728507,0.5333123413764443,0.5252335563874081,0.5267917267917267
56.334841628959275,0.5396474190124984,0.5325196731749758,0.5338217338217338
56.10859728506787,0.5389140033215862,0.5264725399533431,0.5291110592540735
54.29864253393665,0.5204906204906204,0.49635630510242273,0.49606160616061606
52.94117647058824,0.4942028985507247,0.4817840715272874,0.4795244405580747
51.13122171945701,0.4903932304629169,0.4864744101172162,0.48786951172496185
49.547511312217196,0.4785786734544499,0.4727328718565103,0.47483772302677424
49.095022624434385,0.47499787034670754,0.4660662468519101,0.46890293041545045
47.05882352941176,0.44225664636809503,0.43849475416719036,0.4389894217761854
46.83257918552036,0.44845614845614845,0.4423577535536007,0.443643036183957
48.64253393665158,0.4663638577821349,0.4600149474236294,0.461967296450055
46.380090497737555,0.43839959627874325,0.4349222319665167,0.43575444763083376
47.737556561085974,0.45351358097796707,0.44942850060305845,0.45057717399079916
47.737556561085974,0.4521456832503344,0.44839574426620027,0.4493257150003329
48.19004524886878,0.4561938802623829,0.45396364799534866,0.45460250496715077
47.511312217194565,0.451410840588126,0.44626010044724235,0.44684971699455883
48.19004524886878,0.45443481848184825,0.45148070456109357,0.4511823897610426
48.41628959276018,0.45710076697636715,0.4537482782572388,0.4534604296368012
49.7737556561086,0.472113344063456,0.4678371161332418,0.46730343381287254
49.095022624434385,0.46789510482263025,0.45980374389216744,0.4614648461148405
49.095022624434385,0.4702980046029373,0.4613198959281579,0.4635963684486568
48.19004524886878,0.4565022302553989,0.4411747823214891,0.44178805645385544
48.19004524886878,0.45825801706684377,0.4416581780206214,0.44266055045871555
49.095022624434385,0.4685855115898799,0.45395867169296356,0.455632627612436
49.095022624434385,0.46633543159533897,0.4518271940806536,0.45292020321160686
50.678733031674206,0.4840751745088516,0.4675023151378887,0.4694215995636443
48.64253393665158,0.4623827733995591,0.45265372318843494,0.454010265891454
48.86877828054298,0.46405490244352804,0.45650341385916415,0.4577760634201711
46.83257918552036,0.44872236128493953,0.43919351960443254,0.44144321299932693
46.83257918552036,0.4478126119655879,0.43816076326757436,0.44027777777777777
46.60633484162896,0.44613362439754906,0.4364425502091551,0.43865859439295046
47.05882352941176,0.45426849934099045,0.44042833696371947,0.44350048100048095
47.28506787330316,0.45164972188349145,0.441047828746687,0.4430072030176431
47.737556561085974,0.45941496075956306,0.44661573247583547,0.44931920007540144
47.737556561085974,0.45858516483516487,0.44716509311356134,0.4497476333378256
47.963800904977376,0.4611111111111111,0.4488833061719806,0.451576235135467
47.05882352941176,0.45103515183201703,0.4352645552794286,0.4373268131149594
46.60633484162896,0.4432335557574429,0.43072940788713837,0.4322559381050191
50.452488687782804,0.47944071891440315,0.4673002541154599,0.4689717126013508
46.83257918552036,0.4453378682386316,0.4407756365790166,0.4415416941808872
53.619909502262445,0.5199568315490671,0.5136368044546934,0.5158514856790719
47.737556561085974,0.4557204904062895,0.4497799664250035,0.4513754811647807
46.60633484162896,0.4524572649572649,0.4413208310100945,0.44448196174574517
46.60633484162896,0.4390521452483432,0.4327949205608547,0.43359225723393696
